================ Training Loss (Mon Nov 24 11:46:47 2025) ================
(epoch: 1, iters: 10, time: 0.229, data: 0.161) loss: 2.175 
================ Training Loss (Mon Nov 24 11:47:09 2025) ================
(epoch: 1, iters: 10, time: 0.222, data: 0.161) loss: 2.012 
(epoch: 2, iters: 4, time: 0.226, data: 0.000) loss: 1.855 
(epoch: 2, iters: 14, time: 0.286, data: 0.000) loss: 2.201 
(epoch: 3, iters: 8, time: 0.222, data: 0.003) loss: 1.848 
(epoch: 4, iters: 2, time: 0.225, data: 0.003) loss: 1.425 
(epoch: 4, iters: 12, time: 0.221, data: 0.000) loss: 1.380 
(epoch: 5, iters: 6, time: 0.241, data: 0.003) loss: 1.334 
(epoch: 5, iters: 16, time: 0.226, data: 0.005) loss: 1.417 
(epoch: 6, iters: 10, time: 0.226, data: 0.124) loss: 1.011 
(epoch: 7, iters: 4, time: 0.227, data: 0.000) loss: 1.058 
(epoch: 7, iters: 14, time: 0.224, data: 0.003) loss: 0.981 
(epoch: 8, iters: 8, time: 0.225, data: 0.003) loss: 0.844 
(epoch: 9, iters: 2, time: 0.224, data: 0.003) loss: 0.643 
(epoch: 9, iters: 12, time: 0.226, data: 0.000) loss: 0.947 
(epoch: 10, iters: 6, time: 0.227, data: 0.004) loss: 0.710 
(epoch: 10, iters: 16, time: 0.227, data: 0.008) loss: 0.650 
(epoch: 11, iters: 10, time: 0.224, data: 0.060) loss: 1.185 
(epoch: 12, iters: 4, time: 0.221, data: 0.005) loss: 0.891 
(epoch: 12, iters: 14, time: 0.224, data: 0.007) loss: 0.642 
(epoch: 13, iters: 8, time: 0.224, data: 0.000) loss: 0.798 
(epoch: 14, iters: 2, time: 0.225, data: 0.003) loss: 0.466 
(epoch: 14, iters: 12, time: 0.222, data: 0.000) loss: 0.643 
(epoch: 15, iters: 6, time: 0.286, data: 0.005) loss: 0.665 
(epoch: 15, iters: 16, time: 0.224, data: 0.003) loss: 0.474 
(epoch: 16, iters: 10, time: 0.225, data: 0.122) loss: 0.501 
(epoch: 17, iters: 4, time: 0.222, data: 0.000) loss: 0.458 
(epoch: 17, iters: 14, time: 0.220, data: 0.003) loss: 0.427 
(epoch: 18, iters: 8, time: 0.222, data: 0.000) loss: 0.416 
(epoch: 19, iters: 2, time: 0.223, data: 0.003) loss: 0.677 
(epoch: 19, iters: 12, time: 0.227, data: 0.005) loss: 0.493 
(epoch: 20, iters: 6, time: 0.223, data: 0.003) loss: 0.450 
(epoch: 20, iters: 16, time: 0.222, data: 0.000) loss: 0.478 
(epoch: 21, iters: 10, time: 0.229, data: 0.061) loss: 0.387 
(epoch: 22, iters: 4, time: 0.227, data: 0.003) loss: 0.377 
(epoch: 22, iters: 14, time: 0.221, data: 0.000) loss: 0.338 
(epoch: 23, iters: 8, time: 0.221, data: 0.002) loss: 0.400 
(epoch: 24, iters: 2, time: 0.223, data: 0.007) loss: 0.288 
(epoch: 24, iters: 12, time: 0.223, data: 0.000) loss: 0.269 
(epoch: 25, iters: 6, time: 0.226, data: 0.000) loss: 0.285 
(epoch: 25, iters: 16, time: 0.225, data: 0.007) loss: 0.327 
(epoch: 26, iters: 10, time: 0.222, data: 0.120) loss: 0.260 
(epoch: 27, iters: 4, time: 0.226, data: 0.000) loss: 0.251 
(epoch: 27, iters: 14, time: 0.219, data: 0.003) loss: 0.243 
(epoch: 28, iters: 8, time: 0.223, data: 0.003) loss: 0.226 
(epoch: 29, iters: 2, time: 0.231, data: 0.003) loss: 0.209 
(epoch: 29, iters: 12, time: 0.225, data: 0.007) loss: 0.371 
(epoch: 30, iters: 6, time: 0.217, data: 0.000) loss: 0.227 
(epoch: 30, iters: 16, time: 0.224, data: 0.000) loss: 0.184 
(epoch: 31, iters: 10, time: 0.226, data: 0.064) loss: 0.189 
(epoch: 32, iters: 4, time: 0.222, data: 0.000) loss: 0.214 
(epoch: 32, iters: 14, time: 0.224, data: 0.002) loss: 0.242 
(epoch: 33, iters: 8, time: 0.223, data: 0.003) loss: 0.227 
(epoch: 34, iters: 2, time: 0.229, data: 0.005) loss: 0.207 
(epoch: 34, iters: 12, time: 0.228, data: 0.000) loss: 0.162 
(epoch: 35, iters: 6, time: 0.223, data: 0.005) loss: 0.189 
(epoch: 35, iters: 16, time: 0.220, data: 0.000) loss: 0.173 
(epoch: 36, iters: 10, time: 0.220, data: 0.248) loss: 0.201 
(epoch: 37, iters: 4, time: 0.220, data: 0.000) loss: 0.189 
(epoch: 37, iters: 14, time: 0.224, data: 0.000) loss: 0.153 
(epoch: 38, iters: 8, time: 0.225, data: 0.003) loss: 0.146 
(epoch: 39, iters: 2, time: 0.221, data: 0.006) loss: 0.208 
(epoch: 39, iters: 12, time: 0.226, data: 0.008) loss: 0.220 
(epoch: 40, iters: 6, time: 0.224, data: 0.000) loss: 0.139 
(epoch: 40, iters: 16, time: 0.283, data: 0.007) loss: 0.214 
(epoch: 41, iters: 10, time: 0.222, data: 0.057) loss: 0.337 
(epoch: 42, iters: 4, time: 0.223, data: 0.003) loss: 0.257 
(epoch: 42, iters: 14, time: 0.223, data: 0.005) loss: 0.213 
(epoch: 43, iters: 8, time: 0.224, data: 0.002) loss: 0.186 
(epoch: 44, iters: 2, time: 0.303, data: 0.007) loss: 0.221 
(epoch: 44, iters: 12, time: 0.223, data: 0.005) loss: 0.137 
(epoch: 45, iters: 6, time: 0.221, data: 0.000) loss: 0.117 
(epoch: 45, iters: 16, time: 0.227, data: 0.003) loss: 0.100 
(epoch: 46, iters: 10, time: 0.281, data: 0.065) loss: 0.160 
(epoch: 47, iters: 4, time: 0.222, data: 0.000) loss: 0.098 
(epoch: 47, iters: 14, time: 0.229, data: 0.003) loss: 0.105 
(epoch: 48, iters: 8, time: 0.226, data: 0.003) loss: 0.103 
(epoch: 49, iters: 2, time: 0.231, data: 0.005) loss: 0.128 
(epoch: 49, iters: 12, time: 0.227, data: 0.000) loss: 0.103 
(epoch: 50, iters: 6, time: 0.229, data: 0.000) loss: 0.094 
